Pluripotent_Cells,Gastr_Cells_Prim_Streak,Posterior_PS,Mesendoderm_Prim_Endoderm,Distal_Foregut_Pancreas,Posterior_Foregut_Liver,Gut_Mesenchyme,Endoderm_Gut_Cells,Stromal_Fibroblasts,Mural_Cell,Stromal_Smooth_Muscle,Cardiac_Mesoderm,Endocardial,Epicardial,Cardiomyocytes,First_Heart_Field,Second_Heart_Field,DEGs
POU5F1,MIXL1,ETV2,SOX7,PDX1,ALB,ALCAM,ALB,VIM,RGS5,ACTA2,MESP1,TEK,WT1,TNNT2,TBX5,HAND2,TGFBI
SOX2,TBXT,EVX1,SOX17,HHEX,CDH6,CDH1,CDH6,TAGLN2,TAGLN,TAGLN2,EOMES,NPC2,TBX18,ACTN2,HCN4,TBX1,IGFB
NANOG,CER1,ENG,GATA4,HNF6,AFP,CXCL12,AFP,COL1A1,ANKRD1,SM22,KDR,NPR3,TCF21,MYH6,HAND1,CXCR4,ANXA1
ST3GAL2,EOMES,TGFBR1,GATA6,MNX1,ONECUT2,PBX1,ONECUT2,COL3A1,,CNN1,ISL1,NFATC1,NR2F2,MYH7,,TBX20,FBLN1
CDH1,SOX17,,FOXA2,SOX9,HNF4A,PITX2,HNF4A,TWIST1,,SMTN,MESP2,PECAM1,,MYL4,,,FOS
EPCAM,NODAL,,,,FOXA1,LHX2,NPPB,PRRX1,,CALD1,LHX1,CDH5,,MYL7,,,WNT6
,APLNR,,,,FOXA2,NCAM1,,THY1,,,,CD34,,TTN,,,GATA3
,TBX6,,,,,MEX2,,POSTN,,,,TM4SF1,,,,,IGFBP7
,HES7,,,,,DES,,,,,,GATA5,,,,,TGFBI
,,,,,,,,,,,,TBX3,,,,,CNTNAP2
,,,,,,,,,,,,,,,,,SPARC
,,,,,,,,,,,,,,,,,GAL
