sample,data.dir,patterm,pattern_int,timepoint,time_int
D0,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D0_STARsolo,600um,600,D0,0
D1,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D1_STARsolo,600um,600,D1,1
D4,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D4_STARsolo,600um,600,D4,4
D6,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D6_STARsolo,600um,600,D6,6
D8,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D8_STARsolo,600um,600,D8,8
D12,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D12_STARsolo,600um,600,D12,12
D21,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D21_STARsolo,600um,600,D21,21
D4_SmallPattern,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D4_SmallPattern_STARsolo,200um,200,D4,4
D4_LargePattern,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D4_LargePattern_STARsolo,1000um,1000,D4,4
D21_SmallPattern,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D21_SmallPattern_STARsolo,200um,200,D21,21
D21_LargePattern,/workdir/dwm269/ma_ipsc/data/STARsolo/GRCh38p13/D21_LargePattern_STARsolo,1000um,1000,D21,21
